shipment_id,shipment_timestamp,location_id,customer_id
SHP-2025-001,2025-11-14 08:00:00,STM,DEAL-001
SHP-2025-002,2025-11-14 09:30:00,HTB,DEAL-002
SHP-2025-003,2025-11-15 10:15:00,STM,DEAL-003
SHP-2025-004,2025-11-16 08:45:00,SZK,DEAL-004
SHP-2025-005,2025-11-16 14:20:00,HTB,DEAL-005
SHP-2025-006,2025-11-17 09:00:00,KMM,DEAL-001
SHP-2025-007,2025-11-18 11:30:00,HTB,DEAL-002
SHP-2025-008,2025-11-19 13:15:00,STM,DEAL-003
SHP-2025-009,2025-11-20 10:45:00,HMM,DEAL-004
SHP-2025-010,2025-11-21 15:00:00,STM,DEAL-005
SHP-2025-011,2025-11-22 09:30:00,HTB,DEAL-006





