product_id,product_name,year_month,revenue,gross_margin_amount,operating_expenses,ebitda
FIT-GR3,FIT,2025-11,300000000,90000000,12000000,78000000
FRD-GB5,FREED,2025-11,250000000,62500000,10000000,52500000
VZL-RV3,VEZEL,2025-11,420000000,147000000,16800000,130200000
SWN-RP6,STEP WGN,2025-11,380000000,106400000,15200000,91200000
CRV-RT5,CR-V,2025-11,480000000,153600000,19200000,134400000
ODY-RC1,ODYSSEY,2025-11,520000000,114400000,20800000,93600000
PLT-YF3,PILOT,2025-11,600000000,228000000,24000000,204000000
RDG-YF6,RIDGELINE,2025-11,550000000,165000000,22000000,143000000
PSP-YF7,PASSPORT,2025-11,470000000,155100000,18800000,136300000
ZRV-RZ3,HR-V,2025-11,280000000,72800000,11200000,61600000
ACD-CV1,ACCORD,2025-11,410000000,118900000,16400000,102500000




